project_name,team_name,description,github_url,track_name,technologies,team_members,demo_url,video_url
AgriLink,Team_33472,"AgriLink is a decentralized application powered by Hedera and artificial intelligence that connects farmers, consumers, and investors within a traceable, secure, and fair agricultural supply chain. Users can subscribe for $100 per month. The platform provides instant payments, intelligent weather forecasting, AI-assisted agricultural diagnostics, training in both international and local languages, and an AI chatbot available 24/7 to support users.",,DLT for Operations,"Other, 2, 1",,,https://youtu.be/tP8KpKUtJN0
Atlantian Crown Currency (ATC),Team_33471,"Atlantian Crown (ATC) is the United Kingdom of Atlantis (UKA) digital currency designed to serve as a versatile and innovative asset within the evolving landscape of decentralized finance. Positioned as a cutting - edge Blockchain E-currency. ATC provides a secured, efficient and globally accessible Decentralized Currency for transactions, investments and all asset's management.",,Onchain Finance & Real-World Assets (RWA),1,,,
ArtVault,Team_33470,"A Hedera-powered platform where artists mint NFTs of their artwork, collectors verify ownership on-chain, and smart contracts handle sales, royalties, and transfers automatically.",,Onchain Finance & Real-World Assets (RWA),Crypto / Web3,,,
Senndi Pay,Team_33469,"Senndi Pay est une plateforme de paiement et de crédit communautaire basée sur la blockchain Hedera, spécialement conçue pour résoudre la crise de liquidité qui paralyse les commerces en Guinée. Notre solution permet aux commerçants et clients d'effectuer des transactions quotidiennes sans dépendre de la monnaie physique manquante, grâce à un système de paiement instantané et de crédit basé sur la réputation.",,Onchain Finance & Real-World Assets (RWA),Crypto / Web3,,,
GreenChain,Team_33468,"A Hedera-based platform where individuals and organizations can record eco-friendly actions, receive tokenized carbon credits or NFTs, and smart contracts automate verification, rewards, and trading of sustainability tokens.",,DLT for Operations,"Crypto / Web3, 1",,,
HEDERA CERT NFT,Team_33467,"Hedera Cert NFT is a blockchain-based solution that issues and manages digital certificates as NFTs on the Hedera network. Instead of relying on paper certificates or easily faked PDFs, this project ensures that each certificate is unique, tamper-proof, and verifiable. The build allows: - Institutions/organizations to mint NFTs representing certificates. - Individuals to receive and securely own their certificates in a Hedera wallet.",https://github.com/prin-cemutsoli/hedera-certificate-nft,DLT for Operations,Other,,,
Rasakinq,Team_33466,Not yet,,Onchain Finance & Real-World Assets (RWA),Crypto / Web3,,,
Healthyedger,Team_33465,"A platform where patients control access to their health data via NFTs or tokens, doctors can verify records, and smart contracts automate permissions and audit trails",,DLT for Operations,Crypto / Web3,,,
Frontend,Team_33463,https://ng.linkedin.com/in/ebenezer-akanbi-a399b2207,https://github.com/org/repo/Valiant-7,Onchain Finance & Real-World Assets (RWA),Other,,,
Blocklab,Team_33462,"BlockLabs is a centralized knowledge hub for blockchain and cryptocurrency. It provides enthusiasts, developers, and investors with reliable, up-to-date insights on blockchain fundamentals, crypto trends, testnet/mainnet updates, task and bounty programs, and emerging opportunities. By unifying fragmented resources, BlockLabs empowers its community to learn, discover, collaborate, and stay ahead of trends while driving innovation across the global Web3 ecosystem.",,DLT for Operations,"2, 9",,,
EventMint,Team_33461,"BUIDL NAME: EventMint Description: EventMint is a decentralized platform built on hedera that allows event organizers to create, manage and distribute tokenized event experiences",,DLT for Operations,"Crypto / Web3SocialzkSynczkEVMHedera, 1, 3",,,
Gaming platform,Team_33460,I want to build a platform that will enable people to earn with my product design skills.,,Immersive Experience,Crypto / Web3BNB ChainDeFiDePINCrypto Adoption,,,
Data analyst,Team_33459,Import pandas as of ```javascript Df = pd.read_csv(“read_csv”) Display(df) ```,,DLT for Operations,"Other, 1, 2",,,
Agritrace Guinée,Team_33458,"Plan d’action Étape 1 : Créer une base de données décentralisée où chaque lot agricole est enregistré sur Hedera. Étape 2 : Générer un QR code pour chaque produit (les acheteurs peuvent scanner et voir l’origine). Étape 3 : Prototype simple avec une appli mobile/web pour scanner et vérifier. Impact : Augmente la confiance, favorise l’exportation, lutte contre la fraude alimentaire.",,DLT for Operations,Quantum Computing,,,
Meme and NFT artist,Team_33457,Alot of project doesnt seems to have alot of meme and NFT artist. with my team we will be able to solve and bring solutions to this unfill space,,Immersive Experience,"Other, 1",,,
AGOD,Team_33456,Creating a new world,,Onchain Finance & Real-World Assets (RWA),AI / Robotics,,,
Jala,Team_33455,This projects explored how to utilize ai full potential by learning prompt engineering,,AI & DePIN,Crypto / Web3Crypto-AIEducation,,,
VerifyFund,Team_33454,"VerifyFund is a crypto-only on-chain and easily auditable crowdfunding platform focused on transparency and trust for African causes. Today, donations flow via USDC (ERC‑20) on Hedera Testnet (EVM), with a native HBAR donation flow prepared in the included hedera-contracts package. Key principles: - 100% transparency (on-chain, verifiable) - No platform fees (funds go directly to campaigns) - Crypto-only: HBAR and USDC",https://github.com/mimimoneydev/verifyfund,Onchain Finance & Real-World Assets (RWA),1,,https://x.com/mimimoneyapp,
Veterinary Telemedicine,Team_33453,"Name: Veterinary Telemedicine API Purpose: Provide REST APIs for veterinary practices to manage patients (pets), appointments, consultations, vets, and messaging between owners and vets. Includes authentication, role-based permissions (vet, owner, admin), and basic telemedicine flows. Tech stack: - Django 4.x - Django REST Framework - PostgreSQL - Redis (optional, for channels/background jobs)",,DLT for Operations,Other,,,
SunCred (Clean Energy Reward Platform),Team_33451,"SunCred helps African households and small businesses earn digital rewards for generating clean energy, using Hedera to track and issue tokens.",,Onchain Finance & Real-World Assets (RWA),"AI / Robotics, 1",,,
Stoneale,Team_33450,"Our gaming platform integrates mental health support, anonymous forums, gamified wellness exercises, and blockchain-based fair play to create a healthier and more supportive gaming environment for remote tech professionals facing isolation and antisocial behavior.",https://github.com/orgs/stoneale-games/repositories,DLT for Operations,"Other, 2, 4",,https://www.linkedin.com/company/stonealeapp/,
Maestro-prop,Team_33448,#ETHEREUM,,DLT for Operations,,,,
Sheynex,Team_33446,To create a platform that will be used between creators and consumers,,DLT for Operations,AI / Robotics,,,
Family,Team_33444,"Family is a decentralized healthcare and fertility platform that connects patients, clinics, and donors through secure on‑chain workflows. It uses Hedera Testnet (EVM) for trust, auditability, and programmable payments, with decentralized identity and AI assistance for care coordination.",https://github.com/holycarehos/family,DLT for Operations,Crypto / Web3NFTCrypto-AIRWA,,,
Jaga Insurance,Team_33443,Jaga a decentralized on-chain transparent insurance dApp powered by smart contracts on Hedera.,https://github.com/ivelinweb/jaga,Onchain Finance & Real-World Assets (RWA),Crypto / Web3DAO / CommunityDeFiRWAHedera,,,
Aya,Team_33439,"Many users in emerging markets and non-technical communities struggle to interact with traditional software or web services due to complexity, language barriers, or lack of local adaptation. Aya solves this by providing an intuitive, AI-driven interface that works seamlessly across devices, reducing friction and bridging the gap between people and digital tools.",,DLT for Operations,"AI / Robotics, 1",,,
Decentralized AI Health Records,Team_33438,"This project empowers patients with secure, portable, and AI-enhanced health records stored on Hedera DLT. It ensures individuals truly own their data, while enabling healthcare providers and researchers to access it with consent. - Health records in many underserved regions are fragmented, insecure, and inaccessible. - Patients lack control over their own data, leading to poor care continuity and repeated tests.",,DLT for Operations,"AI / Robotics, 1",,,
Pick-n-Get,Team_33435,"Pick-n-Get aims to solve environmental hazards and pollution by incentivizing people to recycle items, this is a step towards reducing pollution of our air, Land and Water habitats and making African Cities Clean",https://github.com/pick-n-get/,DLT for Operations,"1, 6",,https://pick-n-get-fe.vercel.app/,
Africo Would,Team_33434,Africo Would Features On-Chain Skill Badges: Minted as non-transferable NFTs (Soulbound Tokens). DAO-Verified Credentials: Communities validate skill achievements. Decentralized Reputation Score: Built from contributions across multiple Web3 ecosystems. Earning Layer: Users can stake their credentials for project bounties or freelance tasks,,AI & DePIN,Other,,,
DeFi Bank,Team_33432,"DeFi Bank provides Secure and Protected Transfers, Group Payments, Savings, African Stablecoins mint/burn, revolutionary Stablecoins DEX, Loans, and Transaction history.",https://github.com/GETOfinance/defibank,Onchain Finance & Real-World Assets (RWA),"Crypto / Web3DeFiPrivacyCrypto AdoptionHedera, 2",,,
AgriFund – Tokenized Crowdfunding for African Farmers (Onchain Finance & RWA track),Team_33431,"AgriFund is a decentralized crowdfunding platform that connects smallholder farmers with global investors using Hedera blockchain. Farmers tokenize their future harvests, giving investors an opportunity to fund agricultural production in exchange for transparent, smart-contract-based profit sharing. By cutting out middlemen and banks, AgriFund makes financing more accessible for farmers while giving investors a secure way to back real-world assets. This approach strengthens food security, pro...",,Onchain Finance & Real-World Assets (RWA),"Crypto / Web3, 1",,,
Only1Uc_Prop,Team_33430,PROJECT MANAGEMENT AND DATA ANALYST,,DLT for Operations,,,,
Aloma-prop,Team_33426,God bless you BUIDL so far the best project in Nigeria I'm so glad to be one of you,,DLT for Operations,Crypto / Web3Crypto-AI,,,
NovaChain,Team_33425,"🚀 NovaChain is a Web3 project focused on making blockchain technology accessible, transparent, and scalable. It provides solutions across DeFi, NFTs, blockchain infrastructure, education, and security, with features like multi-chain support, low fees, DAO governance, and user-friendly wallets. Vision: Empower the future of Web3 by bridging traditional systems with decentralized networks. Unique Value: A simple, secure, and innovative gateway for mass Web3 adoption.",,DLT for Operations,Crypto / Web3,,,
Rashman_pire,Team_33424,"well it shouldn’t be empt, I’m new here",,DLT for Operations,Crypto / Web3,,,
Hfund,Team_33423,"I’m building a decentralized crowdfunding platform on Hedera that securely escrows contributions, guarantees refunds if goals aren’t met, and enables creators and communities worldwide to raise funds transparently with low fees and instant settlement",,Onchain Finance & Real-World Assets (RWA),"Crypto / Web3, 1",,,
HederaNova,Team_33422,"HederaNova fuses Artificial Intelligence (AI) with DePIN to revolutionize how physical infrastructure is deployed and maintained in Africa. The platform incentivizes individuals and organizations to contribute resources—such as IoT devices, renewable energy units, connectivity hubs, or compute power—while AI optimizes distribution, predictive maintenance, and usage. Hedera’s ultra-fast, low-cost, and eco-friendly ledger ensures trust, security, and auditable data.",,AI & DePIN,"Crypto / Web3SuiDePIN, 1",,,
Proof of Skills (PoS) – A Web3 Credentialing & Earning Platform,Team_33421,Core Features On-Chain Skill Badges: Minted as non-transferable NFTs (Soulbound Tokens). DAO-Verified Credentials: Communities validate skill achievements. Decentralized Reputation Score: Built from contributions across multiple Web3 ecosystems. Earning Layer: Users can stake their credentials for project bounties or freelance tasks,,DLT for Operations,Crypto / Web3DeFi,,,
K_9ja,Team_33420,An AI algorithm for technical know-how in innovative ideas.,,DLT for Operations,,,,
Heridarvh,Team_33419,This is an interesting buido,,DLT for Operations,Crypto / Web3Creator Economy,,,
DeFiGuard,Team_33418,"DeFiGuard is an AI-powered Web3 security assistant that protects users and developers from hacks, scams, and exploits. By combining smart contract analysis, transaction monitoring, and real-time alerts, it makes decentralized finance safer and more reliable for everyone.",,Onchain Finance & Real-World Assets (RWA),"Crypto / Web3SafeChainlinkMetamask, 2",,,
Usiko,Team_33417,,https://github.com/Usiko-Marketplace,DLT for Operations,"Crypto / Web3NFTRWAHedera, 1",,,
Boujee Gamer Girl,Team_33416,"This is created as a fun project for girls who love gaming and AI personalities like the famous Nyane and Megan. By combining machine learning and data analytics, Boujee Gamer Girl hopes to help users hone their unique creativity, think smart, and have fun while at it.",,AI & DePIN,"AI / Robotics, 2",,,
AGRITRUST TOKEN,Team_33415,"📄 AgriTrust Token Hackathon Proposal 1. Project Overview AgriTrust Token is a Hedera-powered micro-farm equity & investment platform that bridges the gap between African small holder farmers and investors (local + diaspora). Farmers tokenize their farmland or harvest yields into micro-equity tokens. Investors purchase tokens to finance seeds, fertilizers, and tools. Smart contracts guarantee transparent profit-sharing after harvest.",,Onchain Finance & Real-World Assets (RWA),4,,,
Impact Commons — powered by Hedera.,Team_33413,"Impact Commons is a decentralized infrastructure platform that redefines how essential civic services are delivered, verified, and funded. Built on the Hedera network, it transforms every clinic visit, solar kilowatt, bus ride, or tree planting into a verifiable, tokenized event. Each action becomes an auditable, incorruptible record, ensuring transparency, efficiency, and measurable impact across critical sectors.",https://github.com/Unlimited-demi/impact-commons,DLT for Operations,"Crypto / Web3, 2",,,https://youtu.be/hPmByhOZ1f0
ZetaLink,Team_33409,"Cross-chain transactions today are slow, expensive, and fragmented across different blockchains. Our project aims to build a unified platform that connects users and developers to seamlessly transfer assets, data, and value across multiple blockchains, making Web3 more accessible and efficient.",https://github.com/ontop026,DLT for Operations,1,,,https://m.youtube.com/watch?v=k00WsEPDmrU&pp=ygUWaGFja2F0aG9uIHByZXNlbnRhdGlvbg%3D%3D
AreCreative,Team_202,,,,,,,
AMINU FARM AND GENERAL GOODS COMPANY LIMITED,Team_33406,"To provide solutions to the Agric products, fashion and clothing materials as well as other general products to customers.",,DLT for Operations,Crypto / Web3Decentralized MediaHedera,,,
AquaGuard,Team_33405,"AquaGuard is a smart water monitoring and protection system designed to help households, businesses, and communities reduce water waste, ensure clean water, and promote sustainable practices. - Real-time Monitoring: Track water usage with precision. - Leak Detection: Instantly detect and alert about leaks to prevent damage. - Optimization Tools: Analyze consumption patterns and suggest ways to save water.",,DLT for Operations,"Other, 1, 2",,https://aquaguard-profession-1k40.bolt.host/,
Farm2Trust,Team_33404,n,,DLT for Operations,Crypto / Web3,,,
Hasnous MS,Team_33403,Je veux briller,,DLT for Operations,AI / Robotics,,https://whatsapp.com/dl/,
Carequeue,Team_33401,"CareQueue is a telemedicine platform that simplifies how patients connect with doctors. By moving scheduling, payments, and prescriptions onto the Hedera network, CareQueue ensures healthcare interactions are secure, transparent, and tamper-proof. Patients can browse doctor availability, book appointments, and pay through smart contract–based escrow, guaranteeing fair transactions and preventing double-bookings. After consultations, doctors can issue on-chain prescriptions that are verifiable...",,DLT for Operations,Crypto / Web3Privacy,,,
AGED University Result Calculator,Team_33400,Building Postgraduate Results Calculation and Administration for the University,,DLT for Operations,Crypto / Web3EducationHedera,,,
ERC 4337 Account Abstraction implementation,Team_33398,This buidl is an ERC 4337 Account Abstraction implementation that enables any user on the Blockchain determine what security paradigms they'd integrate into their platform.,https://github.com/Magdielian-code/ERC-4337-Account-Abstraction-Implementation,DLT for Operations,Crypto / Web3EthereumArbitrumAccount Abstraction,,,
HealthClerk,Team_33396,"- Patient data is repeatedly collected at every hospital visit, leading to wasted time and frustration. - No standardized system—different facilities keep their own isolated records. - Manual clerking is error-prone and tiring for both patients and clinicians. - Existing electronic health records (EHRs) often lack interoperability and user-friendly input. - Patient control over how and where their data is shared is limited or nonexistent.",,DLT for Operations,"Crypto / Web3Crypto Adoption, 2",,,
TruePass,Team_33395,"TruePass is a Web3 ticketing platform built on Hadera Network, designed to solve the crisis of trust and lost revenue in the live events industry. We turn every ticket into a secure, on-chain asset to eliminate fraud, while empowering creators with programmable rules like on-chain royalties and resale price caps to control their secondary market. Our unique ""Ticket Evolution"" feature drives long-term fan retention by transforming used tickets into unique, AI-powered digital collectibles after...",https://github.com/STEPHENOSHATEYE/truepass,Onchain Finance & Real-World Assets (RWA),"Crypto / Web3NFTCreator Economy, 1, 2",,https://truepass-ten.vercel.app/,
Verimint,Team_33394,"VeriMint is a system that lets institutions give out certificates directly to users. Each certificate is turned into an NFT on the Hedera network, making it secure, permanent, and easy to check. Unlike other platforms where people must claim their own certificates, VeriMint allows issuers to send them straight to the right person. This makes the process faster and reduces the chance of fraud. Users can quickly show and share their verified certificates without extra steps. Verification is as ...",,DLT for Operations,Crypto / Web3,,,
Chain Dialects,Team_33391,Crypto education using Hedera Hashgraph.,,DLT for Operations,"Crypto / Web3, 1, 2",,,
HederaVault,Team_33388,"HederaVault is a non-custodial wallet built to make DeFi on Hedera accessible, fast, and secure. Many African users face barriers in accessing reliable digital wallets due to high transaction costs, poor UX, and lack of fiat integration. Our solution leverages Hedera Token Service (HTS) and Hedera Consensus Service (HCS) to: Enable near-instant, low-cost token swaps and transfers. Provide non-custodial key management so users stay in control.",https://github.com/moneyMANg/HederaVault/blob/main/README.md,Onchain Finance & Real-World Assets (RWA),"Crypto / Web3DeFiHedera, 2, 4",,,
SanctumChain: Regenerative Health & Finance for Africa,Team_33387,"✅ Healthcare Access: Millions gain secure health IDs & credits. ✅ Economic Inclusion: Farmers, patients, and landowners benefit from tokenized RWA and fairer supply chains. ✅ Cultural & Environmental Regeneration: Local communities profit directly from conservation & cultural assets. ✅ Scalable Blueprint: A model for other continents, extending Atlas Sanctum’s humanitarian-economic system globally.",,Onchain Finance & Real-World Assets (RWA),Other,,,
Relito,Team_33385,```javascript Bold text Italic text ~~Strikethrough~~ > This is a blockquote - Bullet list item 1 - Bullet list item 2 - Nested item 1. Numbered list item 1 2. Numbered list item 2 `Inline code` ```,,DLT for Operations,Other,,,
AI Personal Life Assistant Bot,Team_33384,"AI Personal Life Assistant Bot It’s like having a smart friend who never forgets anything and helps you in daily life. Instead of hiring a human assistant, you use an AI bot on your phone or computer.",,AI & DePIN,AI / Robotics,,,
Legaltrack,Team_33383,"[](https://github.com/KartikBansal4976/flow_legal_track#%EF%B8%8F-legaltrack4) WATCH LIVE(Frontend) https://legaltrackhost-12ep.vercel.app/ LegalTrack4 is an AI + Blockchain powered legal tech platform designed to modernize and simplify the legal process — from FIR assistance to legal support services — all in one place. It brings together Artificial Intelligence, IPFS, and Blockchain to make FIR filing secure, tamper-proof, and transparent. Built for users, police departments, and legal prof...",https://github.com/KartikBansal4976/flow_legal_track,AI & DePIN,Crypto / Web3IPFSFlowMetamaskDeGov,,https://legaltrackhost-12ep.vercel.app/,
MediSync Ledger,Team_33382,"Problem: Healthcare systems worldwide face fragmented data silos, where patient records are trapped within individual hospitals or clinics. This lack of interoperability creates delays in diagnosis, repeated tests, and higher healthcare costs. More critically, patients often struggle to have their complete medical history accessible when moving between providers, risking misdiagnosis and incomplete care. Traditional cloud storage solutions offer some connectivity, but they remain vulnerable t...",,DLT for Operations,Crypto / Web3,,,
Hedera CertChain,Team_33381,Hedera CertChain is a decentralized application that allows institutions to issue certificates and enables third parties to instantly verify their authenticity using Hedera Hashgraph’s low-cost and secure network.,https://github.com/josephjbassey/hedera-certchain,DLT for Operations,4,,,
ChainBallot,Team_33379,"Elections today suffer from fraud, mistrust, and inefficiency. Citizens cannot easily verify that their votes were counted correctly, and centralized databases remain vulnerable to tampering. Privacy concerns also prevent mass adoption of online voting systems. ChainBallot addresses these issues by using Hedera Hashgraph to anchor every vote on an immutable, transparent, and decentralized ledger. Hedera’s performance ensures millions of votes can be processed in seconds, at extremely low cost...",,DLT for Operations,"Crypto / Web3Election TechnologyPolitical Tech, 1",,,
AgriTrust,Team_33378,"AgriTrust is a Hedera-powered agriculture supply chain platform that makes food production transparent, sustainable, and fair. Each crop batch is assigned a unique ID on Hedera, with IoT or farmer mobile inputs logging data on origin, harvest, and eco-practices. Smart contracts guarantee instant and fair payments to farmers once delivery is verified, removing delays and middlemen. Buyers and consumers can scan a QR code on produce to see its full journey from farm to table, including authenti...",,DLT for Operations,"Crypto / Web3, 1, 2",,,
TraceMedica,Team_33377,"TraceMedica is a Hedera-powered healthcare supply chain platform that ensures medicines are authentic, safely handled, and fairly traded. Each batch is assigned a unique on-chain ID, and IoT sensors continuously log environmental data like temperature and humidity to Hedera. Smart contracts automatically validate safe handling and release payments only if all quality checks pass. Regulators gain an immutable audit trail, while patients can scan a QR code on packaging to instantly verify authe...",,DLT for Operations,"Crypto / Web3, 1",,,
MediChain – Decentralized Health Records & Community Care,Team_33375,"MediChain is a decentralized healthcare records system built on Hedera Hashgraph that gives patients full ownership and control of their medical data. By combining Hedera Token Service for tokenized health records, Consensus Service for immutable audit trails, and smart contracts for access control, MediChain ensures that health records are secure, tamper-proof, and only accessible with patient consent. Records are encrypted and stored on IPFS/Filecoin, while prescriptions are issued as NFTs ...",,DLT for Operations,"Other, 1, 2",,,
AfriHealth Ledger,Team_33374,"AfriHealth Ledger: Decentralized EHR Platform on Hedera DLT Empowering Secure, Transparent, and Patient-Centric Healthcare - Fragmented Records: Siloed EHR systems (e.g., Epic, Cerner) cause delays, redundant tests, and errors, contributing to $1 trillion in global healthcare inefficiencies. - Data Breaches: Centralized databases are vulnerable. - Patient Privacy Gaps: Patients lack control over data access, with siloed consent processes complicating compliance.",,DLT for Operations,"Crypto / Web3PrivacyCrypto Adoption, 1",,,
TechBox,Team_33370,"The TechBox is an innovative solution designed to bridge the education gap in low-income and underserved communities where traditional access to learning is limited due to poor infrastructure, such as bad roads, and lack of reliable internet connectivity. By addressing these barriers, the TechBox redefines how knowledge can be delivered to learners in remote or marginalized areas. The device would be solar-powered, ensuring sustainability and continuous functionality in off-grid locations. Wi...",,DLT for Operations,"AI / Robotics, 2, 1",,,
Okis developer,Team_33368,"👨‍💻 Name: okiki ola 🔨 Role: Full-Stack Blockchain Developer 🌐 Focus: Smart Contracts | DAOs | Layer 2 Scalability 🛠️ Projects:  DAOManager – A framework for building DAO governance tools using Solidity and IPFS.  GasSaver.js – A JavaScript library that optimizes gas usage for Ethereum dApps.  L2Bridge – An open-source bridge between Ethereum L1 and Arbitrum. ""I don’t just build during bull markets—I buidl through the bear. Decentralization is a movement, not a moment.""",,DLT for Operations,Crypto / Web3,,,
elsurajweb3girls,Team_33366,Ai web3girls,,DLT for Operations,Crypto / Web3TON,,,
Hedera SafariVerse,Team_33364,"The immersive 3D platform bridging cultures through African geography and community Disclaimer: SafariVerse is currently in active development. For any queries or collaboration opportunities, feel free to reach out through our community channels. Africa. The cradle of humanity. A continent of 54 nations, over 1.4 billion people, and thousands of distinct cultures, languages, and traditions. Yet despite being home to some of the world's most vibrant communities and richest cultural heritage, A...",https://github.com/mendsalbert/safariVerse,Immersive Experience,"Crypto / Web3, 1, 2",,,
iTradeCoach,Team_33362,"As a computer science student with a deep passion for both crypto and forex markets, I often felt overwhelmed by the fragmented, overly complex nature of trading education. Most platforms were:  Too generic  Expensive  Lacking interactive and data-driven learning paths >That frustration sparked the idea for iTradeCoach - a platform where AI meets trading education, offering a smarter, more personalized, and accessible way to learn how financial markets work. We wanted to build a tool that emp...",https://github.com/ImaJin14/iTradeCoach,DLT for Operations,"Other, 1",,,https://youtu.be/-fXG_xP3jpI?si=OGIjNNUmV-9n_x7Y
mngazi,Team_33361,"Our stablecoin-based money market fund bridges the gap, turning your mobile wallet into an interest-generating asset without risk or volatility",https://github.com/Ej-leone/mngazi,Onchain Finance & Real-World Assets (RWA),Crypto / Web3DeFiHedera,,,
Mavuno,Team_33360,"Empowering farmers through community-backed micro-lending on Hedera Hashgraph. Mavuno is a digital lending platform built for farmers in Africa. Unlike traditional banks or crypto platforms that demand heavy collateral, Mavuno uses a simple community pledge system. Farmers don’t have to lock up land titles, assets, or large savings. Instead, friends, family, or supporters can pledge funds on their behalf in HBAR. This makes it possible for farmers to access small loans in local currency that ...",https://github.com/devarogundade/mavuno,Onchain Finance & Real-World Assets (RWA),1,,https://mavuno-hedera.netlify.app/,
HeDAO,Team_33357,"HeDAO is a decentralized autonomous organization (DAO) platform built natively on the Hedera network, empowering users to create and manage their own DAOs. Members can allocate staked assets as liquidity providers on SaucerSwap (though uniswap for now for testnet), Hedera's leading decentralized exchange, enabling both governance participation and DeFi yield generation. Governance Token: Utilizes an HTS token (EVM address) created via Hedera SDK or external tooling for governance.",https://github.com/TYDev01/HeDAO,DLT for Operations,,,,
Smart Up,Team_33356,"SmartUp is a platform that builds AI agent flows to help businesses automate operations, reduce costs, increase productivity, and improve customer experience",,DLT for Operations,"Other, 1",,,
EventHash,Team_33354,"This is the brain of EventHash - an AI agent system that translates natural language into Hedera blockchain operations. It combines Groq's fast LLM with Hedera's native services to create a conversational event management platform. - LLM: Groq's Llama-3.1-8b-instant (fast, cost-effective) - Temperature: 0.1 (focused, deterministic responses) - Context: 2048 tokens for complex workflows",https://github.com/oderahub/Event_tick,DLT for Operations,1,,https://event-tick-ivory.vercel.app/,
EstateFi,Team_33351,"EstateFi is a next-generation real estate crowdfunding and leasing platform designed to break down the traditional barriers of property ownership and participation in rental markets. By integrating with the Hedera blockchain, EstateFi ensures secure, transparent, and efficient transactions, creating trust between investors, landlords, and tenants. Real estate has long been one of the most reliable paths to building wealth, but access is limited by:",https://github.com/AiialphaOrg/EstateFi_Frontend,Onchain Finance & Real-World Assets (RWA),Other,,,
Kinshasa CleanChain: AI + Blockchain for,Team_237,,,,,,,
VTU WEBSITE CREATING WITH SCRIPT,Team_33337,"Our VTU website is a digital platform that allows users to easily recharge airtime, buy data, pay utility bills, and access essential services in one place. It is designed to be simple, fast, and affordable while giving individuals and resellers the opportunity to earn commissions. By providing reliable and transparent transactions, the platform promotes convenience, financial inclusion, and supports small businesses",,DLT for Operations,"Other, 1",,,https://youtu.be/BxD8c5_fcLc?si=X5HTU4Z0Dib-WNks
HyperFill,Team_33334,,https://github.com/orgs/HyperFillOrg,Onchain Finance & Real-World Assets (RWA),Crypto / Web3,,https://hyperfill-frontend-dc29.vercel.app/,
EgyptFi,Team_33322,"EgyptFi is a developer-first, StarkNet-powered crypto payment gateway that enables merchants to receive USDC on StarkNet, while allowing users to pay in their preferred Layer 2 or L1 tokens (BTC, StarkNet, Ethereum, BSC, Polygon, etc.). It mimics the simplicity and integration capabilities of Paystack while offering gasless, cross-chain stablecoin settlements via account abstraction.",https://github.com/limitlxx/egyptfi,Onchain Finance & Real-World Assets (RWA),,,,
AgriLink AI,Team_33318,"AgriLink AI is a decentralized farming assistant that combines AI + Hedera DLT + DePIN to empower smallholder farmers. It provides real-time crop guidance, enables resource sharing, and ensures fair payments through tokenized incentives. - AI Farming Assistant → Chatbot in local languages offering crop advice, pest detection, and best practices. - DePIN Resource Sharing → Farmers share tools (tractors, irrigation pumps, solar power) with transparent tracking on Hedera.",,AI & DePIN,AI / Robotics,,,
HeritaVerse,Team_33316,"HeritaVerse is an immersive digital world built on Hedera DLT that preserves and celebrates Africa’s diverse cultures. Communities can create virtual lands, showcase heritage, and share stories through NFTs, virtual festivals, and cultural artifacts. Many communities lack platforms to preserve and monetize their cultural heritage. Artists and storytellers often lose value in centralized systems with little global visibility.",,DLT for Operations,"Crypto / Web3, 1",,,
HashHaven,Team_33310,"HashHaven – A Safe Haven for the Decentralized World 1. Problem Centralized systems are vulnerable to hacks, censorship, and data misuse. Users don’t have true ownership of their assets and identity. Cross-chain ecosystems remain fragmented and hard to navigate.",,DLT for Operations,Crypto / Web3,,,
Rk,Team_33308,Describe you​ Hedera,,Onchain Finance & Real-World Assets (RWA),,,,
Brat token verifier,Team_33306,"Brat token verifier is a software application designed to provide a unified, real-time data dashboard for the Hedera Hashgraph network. The Hedera ecosystem currently lacks a single, comprehensive tool for analyzing on-chain and off-chain metrics, forcing users to rely on fragmented and disparate data sources. This fragmentation creates significant challenges for traders, investors, and developers in assessing token health, tracking network activity, and staying informed about the latest proj...",,Onchain Finance & Real-World Assets (RWA),"2, 3",,,
Chochocho,Team_33305,Nil,,DLT for Operations,Crypto / Web3Crypto-AI,,,
Creatipjar,Team_33302,A simple peer-to-peer tipping app where users can send HBAR or a custom token to creators or friends. Core Features: - Connect wallet with MetaMask (via JSON RPC Relay). - Create a simple token with Hedera Token Service (HTS). - Users send tips (HBAR or token) to others. - Show transaction history (using Mirror Node API).,https://github.com/Oluwatomilola/hedera-tip-swift,DLT for Operations,"Crypto / Web3Creator Economy, 2",,https://creatipjar.vercel.app/,
Synthera,Team_33301,"TriageAI is an AI-powered web application designed to bridge the gap between personal health concerns and specialist medical care. Our platform provides users with instant, preliminary risk assessments for specific brain, heart, and eye conditions. Users simply upload relevant data—such as an MRI scan, retina image, or symptom list—and our specialized deep learning models analyze it to generate an easy-to-understand report. This report categorizes their risk level and offers actionable next s...",,DLT for Operations,"Other, 1",,https://www.linkedin.com/in/abderrahmane-benaamar-18b30a242?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=android_app,
